Filename,Tasks,Machines,Time cycle,Peak,Solutions times,Variable Count,Clause Length,Execution Time,Status
MERTENS,7,6,6,164,1,771,11421,0.02,OPTIMAL
MERTENS,7,2,18,54,5,6479,24619,0.16,OPTIMAL
BOWMAN,8,5,20,146,5,8377,91152,0.36,OPTIMAL
JAESCHKE,9,8,6,173,1,1003,25135,0.03,OPTIMAL
JAESCHKE,9,3,18,47,7,10153,59572,0.42,OPTIMAL
JACKSON,11,8,7,166,4,4120,46132,0.16,OPTIMAL
JACKSON,11,3,21,57,12,25061,113767,2.04,OPTIMAL
MANSOOR,11,4,48,111,3,20359,682249,4.56,OPTIMAL
MANSOOR,11,2,94,68,3,36207,1262835,12.49,OPTIMAL
MITCHELL,21,8,14,216,13,78933,505381,376.57,OPTIMAL
MITCHELL,21,3,39,81,18,246268,1239227,306.69,OPTIMAL
ROSZIEG,25,10,14,238,19,131125,880896,608.75,OPTIMAL
ROSZIEG,25,4,32,108,13,179075,1584188,2004.74,OPTIMAL
BUXEY,29,7,47,173,14,403614,7575051,2409.83,IMPROVED
BUXEY,29,14,25,315,15,255758,4625540,143.48,IMPROVED
SAWYER,30,14,25,282,12,230816,4899618,47.06,OPTIMAL
SAWYER,30,7,47,150,12,374081,8015114,3848.47,IMPROVED
