Instance,Tasks,Machines,Time cycle,Peak,Solutions times,Variable Count,Clause Length,Execution Time,Status
MERTENS,7,6,6,164,0,183,10606,0.01,FEASIBLE
MERTENS,7,6,6,164,1,645,11680,0.02,OPTIMAL
MERTENS,7,2,18,82,0,295,22748,0.01,FEASIBLE
MERTENS,7,2,18,62,1,1591,25754,0.04,IMPROVED
MERTENS,7,2,18,58,2,2653,25124,0.05,IMPROVED
MERTENS,7,2,18,54,3,3823,25412,0.09,IMPROVED
MERTENS,7,2,18,54,4,4975,25340,0.14,OPTIMAL
BOWMAN,8,5,20,190,0,417,88732,0.06,FEASIBLE
BOWMAN,8,5,20,170,1,1677,91692,0.10,IMPROVED
BOWMAN,8,5,20,167,2,3137,92312,0.14,IMPROVED
BOWMAN,8,5,20,165,3,4697,92352,0.19,IMPROVED
BOWMAN,8,5,20,155,4,6357,92832,0.23,IMPROVED
BOWMAN,8,5,20,154,5,7777,92052,0.28,IMPROVED
BOWMAN,8,5,20,146,6,9117,91972,0.32,IMPROVED
BOWMAN,8,5,20,146,7,10677,92392,0.37,OPTIMAL
JAESCHKE,9,8,6,173,0,271,24538,0.02,FEASIBLE
JAESCHKE,9,8,6,173,1,805,25846,0.03,OPTIMAL
JAESCHKE,9,3,18,73,0,397,57196,0.03,FEASIBLE
JAESCHKE,9,3,18,65,1,1981,61156,0.07,IMPROVED
JAESCHKE,9,3,18,64,2,3637,61372,0.11,IMPROVED
JAESCHKE,9,3,18,62,3,4807,59896,0.14,IMPROVED
JAESCHKE,9,3,18,61,4,6121,60346,0.18,IMPROVED
JAESCHKE,9,3,18,59,5,7525,60616,0.22,IMPROVED
JAESCHKE,9,3,18,56,6,8893,60580,0.27,IMPROVED
JAESCHKE,9,3,18,52,7,10135,60130,0.30,IMPROVED
JAESCHKE,9,3,18,51,8,11449,60418,0.35,IMPROVED
JAESCHKE,9,3,18,50,9,12871,60778,0.39,IMPROVED
JAESCHKE,9,3,18,48,10,14311,60760,0.43,IMPROVED
JAESCHKE,9,3,18,47,11,15553,60058,0.50,IMPROVED
JAESCHKE,9,3,18,47,12,16921,60526,0.57,OPTIMAL
JACKSON,11,8,7,186,0,353,44913,0.03,FEASIBLE
JACKSON,11,8,7,166,1,1214,46887,0.05,IMPROVED
JACKSON,11,8,7,166,2,2075,47034,0.08,OPTIMAL
JACKSON,11,3,21,90,0,551,110148,0.07,FEASIBLE
JACKSON,11,3,21,79,1,2756,115587,0.13,IMPROVED
JACKSON,11,3,21,69,2,4961,115608,0.19,IMPROVED
